"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bahrain","BHR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","5066","5560","5947","5323","4118","3980","3181","3392","3565","4063","5453","6472","6441","6017","5108","3420","3607","2435","2408","","4017","6574","6976","7360","6876","6554","6684","5830","5321","6608","6396","6366","6925","6207","5612","3114","","","","","3472","1519","","","","","","1219","1668","","","5319","",
"Bahamas, The","BHS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","1021","659","","","","","","","","","","","","","","","1642","1609","","","","","","4251","","","","","3765","3026","3398","2976","3061","4102","4362","2715","3707","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11570","11171","10271","11088","10780","10446","10108","8520","7545","8488","","11185","12117","12179","",
"Belarus","BLR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42177","","","","","","","","","","","","","","","","","4454","8273","7643","8065","6305","5978","7974","9677","10544","11182","8671","",
"Belize","BLZ","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","339","418","605","","","","","","452","327","448","491","308","","31","","","","","","","","1506","2336","",
"Bermuda","BMU","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","473","512","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1692","","","","","","","","","","","11340","31303","49292","69026","73337","76804","77225","72984","62511","51077","43184","37699","31479","26027","",
"Brazil","BRA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","495994","297627","279379","337852","329821","358763","397177","321682","272499","359875","","",
"Barbados","BRB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","2162","1419","1211","","","599","","","","","","","","","","","","","349","345","","1067","","","","","","","","49","","","","11","350","117","196","145","369","184","71","","","499","384","271","427","325","175","225","379","606","",
"Brunei Darussalam","BRN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","1301","1001","2108","1892","2410","2706","2612","2498","","2326","","","","","2863","3494","4021","4539","4052","","","","","","","","","","","","","","","","","","","","","","","","1013","609","","","",
"Bhutan","BTN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","20036","19815","","","","","","","","","","","","","","","","","","","19710","19710","19466","19044","","","","16158","13613","","10224","7663","6546","6095","5258","5860","","6580","6670","6532","5539","","3993","3466","3965","",
"Botswana","BWA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","32923","35431","36192","37532","36096","33113","31086","28728","28643","27922","25031","21113","","18405","18662","17179","16392","16423","17183","17061","19156","16656","17491","19001","20637","36065","36164","","33358","34591","33630","31417","30813","30299","26041","27130","24781","26537","27802","27704","","","25681","26828","27960","","","","","","","37962","","",
"Central African Republic","CAF","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","71951","70083","69865","","","","90057","89857","","","75776","67916","57192","","","57090","81857","90257","94127","75517","94417","","","","","","","","","","","","","","182303","185286","157714","128289","129423","125412","142268","139453","","","","","25815","","","","","","",
"Canada","CAN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","50755","46092","46175","48783","51715","55011","57749","51852","68396","33314","31271","42169","39339","56093","51117","","27811","16606","8255","","","","","","","","","","","","8595","7677","5081","","10005","6863","4547","21030","22710","42394","","",
